"","id","site","sex","age","viewcat","setting","viewenc","prebody","prelet","preform","prenumb","prerelat","preclasf","postbody","postlet","postform","postnumb","postrelat","postclasf","peabody","agecat","encour","regular","prebody_p","postbody_p","prelet_p","postlet_p","preform_p","postform_p","prenumb_p","postnumb_p","prerelat_p","postrelat_p","preclasf_p","postclasf_p","improve_body","improve_let","improve_form","improve_numb","improve_relat","improve_clasf","body_betatransf","let_betatransf","form_betatransf","numb_betatransf","relat_betatransf","clasf_betatransf","peabody_log"
"1",1,"disadv_city","male",66,"rare","school","encouraged",16,23,12,40,14,20,18,30,14,44,14,23,62,1,1,0,50,56.25,39.6551724137931,51.7241379310345,60,70,74.0740740740741,81.4814814814815,82.3529411764706,82.3529411764706,83.3333333333333,95.8333333333333,6.25,12.0689655172414,10,7.4074074074074,0,12.5,0.53125,0.560344827586207,0.55,0.537037037037037,0.5,0.5625,4.12713438504509
"2",2,"disadv_city","female",67,"three_five","school","encouraged",30,26,9,39,16,22,30,37,17,39,14,22,8,1,1,1,93.75,93.75,44.8275862068966,63.7931034482759,45,85,72.2222222222222,72.2222222222222,94.1176470588235,82.3529411764706,91.6666666666667,91.6666666666667,0,18.9655172413793,40,0,-11.7647058823529,0,0.5,0.594827586206897,0.7,0.5,0.441176470588235,0.5,2.07944154167984
"3",3,"disadv_city","male",56,"three_five","school","not_encouraged",22,14,9,9,9,8,21,46,15,40,9,19,32,1,0,1,68.75,65.625,24.1379310344828,79.3103448275862,45,75,16.6666666666667,74.0740740740741,52.9411764705882,52.9411764705882,33.3333333333333,79.1666666666667,-3.125,55.1724137931034,30,57.4074074074074,0,45.8333333333333,0.484375,0.775862068965517,0.65,0.787037037037037,0.5,0.729166666666667,3.46573590279973
"4",4,"disadv_city","male",49,"rare","school","not_encouraged",23,11,10,14,9,13,21,14,13,19,8,15,27,0,0,0,71.875,65.625,18.9655172413793,24.1379310344828,50,65,25.9259259259259,35.1851851851852,52.9411764705882,47.0588235294118,54.1666666666667,62.5,-6.25,5.17241379310345,15,9.25925925925926,-5.88235294117646,8.33333333333334,0.46875,0.525862068965517,0.575,0.546296296296296,0.470588235294118,0.541666666666667,3.29583686600433
"5",5,"disadv_city","male",69,"over_five","school","not_encouraged",32,47,15,51,17,22,32,63,18,54,14,21,71,1,0,1,100,100,81.0344827586207,108.620689655172,75,90,94.4444444444444,100,100,82.3529411764706,91.6666666666667,87.5,0,27.5862068965517,15,5.55555555555556,-17.6470588235294,-4.16666666666667,0.5,0.637931034482759,0.575,0.527777777777778,0.411764705882353,0.479166666666667,4.26267987704132
"6",6,"disadv_city","female",54,"three_five","school","not_encouraged",29,26,10,33,14,14,27,36,14,39,16,24,32,1,0,1,90.625,84.375,44.8275862068966,62.0689655172414,50,70,61.1111111111111,72.2222222222222,82.3529411764706,94.1176470588235,58.3333333333333,100,-6.25,17.2413793103448,20,11.1111111111111,11.7647058823529,41.6666666666667,0.46875,0.586206896551724,0.6,0.555555555555556,0.558823529411765,0.708333333333333,3.46573590279973
"7",7,"disadv_city","female",47,"three_five","school","not_encouraged",23,12,11,13,11,12,22,45,12,44,12,15,28,0,0,1,71.875,68.75,20.6896551724138,77.5862068965517,55,60,24.0740740740741,81.4814814814815,64.7058823529412,70.5882352941177,50,62.5,-3.125,56.8965517241379,5,57.4074074074074,5.88235294117648,12.5,0.484375,0.78448275862069,0.525,0.787037037037037,0.529411764705882,0.5625,3.3322045101752
"8",8,"disadv_city","male",51,"once_twice","school","encouraged",32,48,19,52,15,23,31,47,18,51,17,23,38,0,1,1,100,96.875,82.7586206896552,81.0344827586207,95,90,96.2962962962963,94.4444444444444,88.2352941176471,100,95.8333333333333,95.8333333333333,-3.125,-1.72413793103449,-5,-1.85185185185185,11.7647058823529,0,0.484375,0.491379310344828,0.475,0.490740740740741,0.558823529411765,0.5,3.63758615972639
"9",9,"disadv_city","male",69,"over_five","school","encouraged",27,44,18,42,15,20,32,50,17,48,14,24,49,1,1,1,84.375,100,75.8620689655172,86.2068965517241,90,85,77.7777777777778,88.8888888888889,88.2352941176471,82.3529411764706,83.3333333333333,100,15.625,10.3448275862069,-5,11.1111111111111,-5.88235294117646,16.6666666666667,0.578125,0.551724137931034,0.475,0.555555555555556,0.470588235294118,0.583333333333333,3.89182029811063
"10",10,"disadv_city","female",53,"three_five","school","encouraged",30,38,17,31,10,17,32,52,19,52,17,24,32,1,1,1,93.75,100,65.5172413793103,89.6551724137931,85,95,57.4074074074074,96.2962962962963,58.8235294117647,100,70.8333333333333,100,6.25,24.1379310344828,10,38.8888888888889,41.1764705882353,29.1666666666667,0.53125,0.620689655172414,0.55,0.694444444444444,0.705882352941177,0.645833333333333,3.46573590279973
